model,test_rows,mae,rmse,r2
mean_baseline,79,3.364364685146611,4.517675234112132,-0.003474246458789576
simple_G2,79,1.362391168576684,2.3075790631540296,0.7381880915339993
multiple_G1_G2,79,1.3447608111149616,2.2721338435826257,0.746169364079905
